"Question","Answer"
"Kubera iki mumaze igihe kinini mutaduha uburenganzira bwo gufungura Irembo ryacu? Ndashaka nanjye kujya mfasha abantu kubona serivisi z'Irembo","Gufungura amarembo igihe kirekire birashobora gukurura umutekano muke no kwinjira utabifitiye uburenganzira. Ni ngombwa kubahiriza amasaha yakazi kugirango umutekano numutekano wabakozi nabakiriya. Niba ushaka gufasha abantu kubona serivisi zinzira, urashobora kubikora mugihe cyamasaha yagenwe."
"Ese umuntu ashaka akazi mu Irembo yabavugisha gute?","Kuvugana numuntu ushaka akazi muri irembo, barashobora gusura urubuga rwa irembo cyangwa kuvugana nitsinda ryabakiriya ba irembo bakoresheje terefone cyangwa imeri kugirango bahabwe ubufasha hamwe namahirwe yakazi aboneka kurubuga."
"Icyangombwa cyanjye cy'ubutaka narakibuze kandi ngejeje igihe cyo gutanga umusoro","Niba waratakaje impapurompamo z'ubutaka bwawe ukaba ukeneye kwishyura umusoro w'ubutaka mu rwanda, ushobora gusaba impapurompamo z'ubutaka z'inyigana binyuze mu biro bishinzwe kwandika ubutaka. Umaze kugira impapuro zingana, urashobora gukomeza kwishyura umusoro w'ubutaka ku biro by'ikigo cy'imisoro n'amahoro (rra) cyangwa kumurongo ukoresheje urubuga rwabo."
"Ese ko mbona gusaba pasiporo bitari gukunda mwamfasha kuyinsabira","Yego, nshobora kugufasha gusaba pasiporo binyuze muri serivisi za irembo mu rwanda. Urashobora gusura urubuga rwa irembo cyangwa porogaramu igendanwa kugirango utangire gahunda yawe yo gusaba kumurongo."
"Ese Irembo","Oya, irembo si irembo. Irembo ni urubuga rwa interineti mu rwanda rutanga serivisi za leta ku baturage n'ubucuruzi."
"Aka message mwampaye narakabuze kandi ejo mfite examen. nakabona gute?","Urashobora kugarura ubutumwa bwabuze winjiye muri konte yawe ya irembo hanyuma ukagera kumateka yubutumwa. Jya gusa kumutwe wubutumwa kurubuga kugirango usubiremo amakuru yose yingenzi ushobora kuba warabuze."
"Icyumweru gishize niyandikishije ku kizami ariko sinibuka italiki y'ikizamini. Munyibutse italiki","Kugirango ubone itariki yikizamini cyawe, urashobora kwinjira kuri konte yawe ya irembo aho wiyandikishije mukizamini. Umaze kwinjira, ugomba gushobora kureba itariki yikizamini cyawe mumwirondoro wawe cyangwa ibice biri imbere."
"Nijoro niyandikishije ariko ndi kwishyura bikanga. Kandi ndabishaka cyane mumfashe","Niba wiyandikishije kuri serivisi hamwe na irembo mwijoro ryakeye ukaba ukeneye kwishyura, urashobora kubikora byoroshye ukoresheje uburyo bwo kwishyura. Ubushake bwawe bwo gufasha burashimwa, kandi urashobora kugera kubufasha bwabakiriya kubufasha ubwo aribwo bwose ushobora gukenera."
"Nasabye icyemezo gisimbura indangamuntu ariko ntabwo nibuka numero yanjye ya dosiye. Mwanyibutsa?","Mumbabarire, ariko sinshobora gutanga nimero yihariye ya dosiye.  Ariko, urashobora kuvugana ibiro cyangwa ishami bireba aho watanze icyifuzo cyawe kugirango ugarure numero ya dosiye."
"Ndikugerageza kudownloadinga icyemezo cyanjye cy'amavuko nk'ibisanzwe ariko ntibikunda sinzi ikibazo kirimo","Niba ugerageza kwigana icyemezo cy'amavuko cyawe ariko ufite ibibazo, ni byiza ko wasura ikigo cya serivise z'irembo kiri hafi kugirango ugihe ubufasha. Barashobora kugufasha kumenya ikibazo no gutanga inama zuburyo bwo gukomeza kubona kopi yinyandiko yawe y'amavuko."
"Maze kwiyandikisha ariko nsanze nashyizemo kuzakorera Rusizi kandi nashakaga Musanze. Munkuriremo iyo dosiye nongere niyandikishe","Serivisi za irembo ntizitanga ubufasha bwo gukuramo dosiye cyangwa kwiyandikisha ahantu runaka. Nyamuneka hamagara umuryango cyangwa ikigo gikwiye kugirango ukemure icyifuzo cyawe cyihariye cyo gukorera musanze aho kuba rusizi."
"Ese birashoboka ko mwampindurira uwo twari kuzashakana nkashyiraho undi. Nandikishije ishyingirwa ariko uwo twari kuzashakana yarabyanze nshaka undi","Mbabarira, ariko serivisi z'irembo nta bubasha zifite bwo guhindura uwo ugiye kurongora. Ibyemezo byo gushyingirwa ni ibyawe bwite kandi bigomba kuganirwaho hagati yawe numukunzi wawe."
"Ndashaka kwishyura imisoro hakiri kare bataramfungira.","Ushobora kwishyura imisoro hakiri kare ukoresheje urubuga rwa interineti rw'ikigo cy'imisoro n'amahoro kuri irembo. Sura urubuga hanyuma ukurikire amabwiriza yo kwishyura mbere yigihe ntarengwa."
"Nabonye ku mbuga zanyu mwatumenyesheje ko mushobora kudufasha gusimbuza amafoto yo ku ndangamuntu","Yego, irembo itanga serivise yo gusimbuza amafoto y'indangamuntu mu rwanda. Urashobora gusaba byoroshye gusimbuza ukoresheje urubuga rwa irembo hanyuma ugakurikiza intambwe zikenewe kugirango ubone idosiye yawe nshya."
"Mu kwiyandikisha kuri permit","Mu kwiyandikisha ku rubuga rwa irembo, urashobora kubona serivisi zitandukanye zitangwa na leta yu rwanda kumurongo. Ibi birimo gusaba no kuvugurura impushya nkibiciro byumushoferi, iyandikisha ryimodoka, hamwe nimpushya zubucuruzi byoroshye kuri mudasobwa yawe cyangwa igikoresho kigendanwa."
"Maze kwishyura Traffic fine ariko nsanga n'umushoferi wanjye nawe yishyuye","Niba warishyuye amahazabu yo mumuhanda ariko nyuma ukavumbura ko umushoferi wawe nayo yishyuye, urashobora kuvugana n'inzego zibishinzwe kugirango usabe gusubizwa amafaranga yishyura. Ubahe gihamya ikenewe yo kwishyura kugirango byorohereze inzira."
"ko ubushize nasabye icyemezo cy'uko ntafunzwe nkahita nkibona","Irembo itanga serivisi aho abayikoresha bashobora gusaba icyemezo cy'ubutabera.  Ushobora kubona iki cyemezo ako kanya nyuma yo kohereza icyifuzo cyawe kumurongo ukoresheje urubuga rwa irembo."
"Twasabye ibyemezo by'uko tutafunzwe njye na madamu n'umuhungu wanjye ariko bo barabibonye njye sinzi impamvu byatinze","Ndasaba kwegera ubuyobozi butanga cyangwa ishami bireba kugirango ubaze kubyerekeye gutinda guhabwa icyemezo cyo kurekura umugore wawe, umuhungu wawe, nawe ubwawe. Bagomba kuba bashobora kuguha amakuru mashya no gusobanura impamvu yatinze."
"Nifuzaga kumenya aho icyangombwa cyanjye cy'ubutaka kigeze kuko twakoze mutation ukwezi gushize kandi sindabona icyangombwa cyanjye","Niba wahinduye impapuro mpamo z'ubutaka bwawe ukwezi gushize ukaba utarabona impapuro mpamo zivuguruye, ushobora kugenzura imiterere y'impapuro mpamo z'ubutaka bwawe ku biro by'ikigo gishinzwe imicungire n'imikoreshereze y'ubutaka mu rwanda (rlmua) aho byakorewe. Bazashobora kuguha amakuru ku miterere y'inyito yawe."
"Mvuye mu kizamini ariko nahise nzimya machine ntabonye amanota yanjye","Niba wasohotse mu kizamini utareba amanota yawe, urashobora gukenera kuvugana numuyobozi wikizamini cyangwa ikigo kugirango ubaze kubyerekeye kubona ibisubizo byawe. Bagomba kuba bashobora kugufasha kugarura amanota yawe."
"Kubera iki umuntu akenera icyemezo cy'uko ari ho kandi mumubona ko ari muzima?","Icyemezo cyo kubaho gikunze gusabwa kubwimpamvu zemewe cyangwa zubuyobozi kugirango werekane ko umuntu cyangwa ikigo kibaho. Ntabwo byanze bikunze byemeza niba umuntu ari muzima cyangwa atari muzima; ikora gusa nkibisobanuro byubuzima bwabo nkuko byemewe nubuyobozi butanga."
"Bitewe n'uko mbona serivisi z'Irembo ari ingenzi cyane kandi hano mu gace kacu nta bantu dufite badufasha kuzibona","Irembo itanga urubuga rworoshye kumurongo aho ushobora kubona serivisi zitandukanye za leta, harimo na serivisi zirishya, udakeneye ubufasha bwumubiri. Sura gusa urubuga rwa irembo cyangwa porogaramu igendanwa kugirango ubone serivisi ukeneye."
"Nk'uko mudushikariza kwisabira serivisi ku Irembo","Kuri irembo, turagutera inkunga yo gusaba ubufasha ku irembo kugirango wizere neza kandi neza serivisi. Ikipe yacu iri hano kugirango igufashe mubibazo byose cyangwa ubufasha ushobora gukenera mugihe cyo gusura."
"Kubera iki umuntu asaba icyemezo cy'uko ari ingaragu bakamusaba kuzana icyemezo kerekana ko ari ingaragu akuye mu mudugudu?","Mu rwanda, abantu bashobora gusaba icyemezo cy'ubusugi kugira ngo batangaze ku mugaragaro ko batarubatse cyangwa mu bumwe bw'abaturage. Ibisabwa ngo uzane icyemezo cy'uko ari ingaragu kivuye mu mudugudu bifasha mu kugenzura imiterere y'usaba no kureba ko amakuru yatanzwe ari ukuri."
"Ubusanzwe pasiporo itwara igihe kingana gute ko mbona iyanjye yatinze?","Niba pasiporo yawe itinze, birashobora gufata ibyumweru 2-4 kugirango igere. Ushobora kugenzura imiterere y'ubusabe bwa pasiporo yawe kurubuga rwa irembo kugirango ubone amakuru ku gihe cyo gutanga."
