"Question","Answer"
"Kubera iki mumaze igihe kinini mutaduha uburenganzira bwo gufungura Irembo ryacu? Ndashaka nanjye kujya mfasha abantu kubona serivisi z'Irembo","Tubitangire imbabazi kubera gutinda gutanga uburenganzira. Turimo gukorana umwete kugira ngo twihutishe inzira. Mushobora kureba ku rubuga rwacu cyangwa mugahamagara umurongo w'ubufasha kugira ngo mumenye amakuru agezweho."
"Ese umuntu ashaka akazi mu Irembo yabavugisha gute?","Ushobora kureba ku rubuga rwacu rwa Irembo ahandikirwa imyanya y'akazi ishyirwaho, cyangwa ukohereza umwirondoro wawe kuri aderesi yacu y'amakuru rusange."
"Icyangombwa cyanjye cy'ubutaka narakibuze kandi ngejeje igihe cyo gutanga umusoro, ubwo nakibona gute ngo mbashe kwishyura imisoro","Kugira ngo ubone icyangombwa cy'ubutaka bundi bushya, wagana ikigo cy'igihugu gishinzwe ubutaka cyangwa ukoreshe urubuga rwa Irembo (irembo.gov.rw) usaba kopi yacyo. Uzakenera gutanga ibisobanuro by'ubutaka bwawe."
"Ese ko mbona gusaba pasiporo bitari gukunda mwamfasha kuyinsabira","Birashoboka ko hari ikibazo cya tekiniki. Gerageza kongera cyangwa uhamagare umurongo wacu w'ubufasha kuri [Nimero ya telefone y'Irembo] kugira ngo bagufashe mu gusaba pasiporo."
"Ese Irembo, iyo umuntu amaze kwiyandikisha kuri permit ntabone code yiwe biba byagenze gute ubwo?","Hari igihe code ishobora gutinda kubera impamvu za tekiniki cyangwa verifikasiyo. Ushobora kureba kuri konti yawe ya Irembo cyangwa ukavugisha serivisi z'abakiriya kugira ngo bakurikirane ikibazo cyawe."
"Aka message mwampaye narakabuze kandi ejo mfite examen. nakabona gute?","Ushobora gusaba ko bakongera kukohereza ubutumwa ukoresheje konti yawe ya Irembo cyangwa ukahamagara umurongo w'ubufasha wabo. Tegura nimero yawe y'irangamuntu cyangwa dosiye."
"Icyumweru gishize niyandikishije ku kizami ariko sinibuka italiki y'ikizamini. Munyibutse italiki","Ushobora kureba itariki y'ikizamini cyawe winjiye kuri konti yawe ya Irembo ahanditse 'Ibyo nasabye', cyangwa ugahamagara umurongo wabo w'ubufasha kuri [Nimero ya telefone y'Irembo]."
"Nijoro niyandikishije ariko ndi kwishyura bikanga. Kandi ndabishaka cyane mumfashe","Bishobora guterwa n'ikibazo cy'igihe gito muri sisitemu yo kwishyura. Gerageza kongera nyuma gato cyangwa ukoreshe ubundi buryo bwo kwishyura bushoboka. Niba bikomeje, hamagara ubufasha bw'abakiriya."
"Nasabye icyemezo gisimbura indangamuntu ariko ntabwo nibuka numero yanjye ya dosiye. Mwanyibutsa?","Ushobora gusanga numero ya dosiye yawe muri SMS cyangwa email wakiriye nyuma yo gusaba. Niba utayibona, hamagara serivisi z'abakiriya za Irembo ufite amakuru yawe bwite, baragufasha."
"Ndikugerageza kudownloadinga icyemezo cyanjye cy'amavuko nk'ibisanzwe ariko ntibikunda sinzi ikibazo kirimo","Gerageza gukoresha indi internet browser cyangwa uhanagure cache ya browser yawe. Niba ikibazo gikomeje, bishobora kuba ari ikibazo cya seriveri. Ongera ugerageze nyuma gato cyangwa uvugishe ubufasha bwa Irembo."
"Maze kwiyandikisha ariko nsanze nashyizemo kuzakorera Rusizi kandi nashakaga Musanze. Munkuriremo iyo dosiye nongere niyandikishe","Niba application yawe itaremezwa burundu, ushobora kuyihagarika kuri konti yawe ya Irembo ukongera ugasaba. Niba yamaze kwemezwa, hamagara umurongo w'ubufasha wa Irembo kugira ngo bakuyobore ku buryo bwo guhindura aho uzakorerara ikizamini."
"Ese birashoboka ko mwampindurira uwo twari kuzashakana nkashyiraho undi. Nandikishije ishyingirwa ariko uwo twari kuzashakana yarabyanze nshaka undi","Impinduka nk'izo zisaba ko ubanza guhagarika ubusabe bwambere ukabona gutanga ubundi bushya. Gana umurenge wandikishirijemo cyangwa ubavugishe unyuze kuri Irembo kugira ngo bagufashe kubikora mu buryo bukurikije amategeko."
"Ndashaka kwishyura imisoro hakiri kare bataramfungira.","Ushobora kwishyura imisoro y'ubutaka ukoresheje urubuga rwa Irembo cyangwa ukoresheje mobile money (MoMo Pay) ukurikiza amabwiriza yatanzwe na RRA (Ikigo cy'Imisoro n'Amahoro)."
"Nabonye ku mbuga zanyu mwatumenyesheje ko mushobora kudufasha gusimbuza amafoto yo ku ndangamuntu, ndasabwa iki?","Gusimbuza ifoto ku ndangamuntu bisaba ko usaba indangamuntu nshya. Gana ku rubuga rwa Irembo, hitamo serivisi yo gusaba indangamuntu, maze ukurikize amabwiriza, harimo no kohereza ifoto nshya ikurikije ibisabwa."
"Mu kwiyandikisha kuri permit, kuki buri gihe nsangamo imyanya yo muri Busanza gusa?","Imyanya yo gukorera ibizamini bya permit ishyirwaho hashingiwe ku mashuri yigisha gutwara ibinyabiziga n'ahantu hakorerwa ibizamini. Imyanya ishobora kuba ari mike cyangwa yaruzuye ahandi. Gerageza kureba kenshi cyangwa uhamagare Polisi ishami rishinzwe umutekano wo mu muhanda."
"Maze kwishyura Traffic fine ariko nsanga n'umushoferi wanjye nawe yishyuye, ubwo ayo mafaranga turayasubizwa bigenze gute?","Niba habayeho kwishyura inshuro ebyiri ihazabu y'umuhanda, mutwandikire mufite ibimenyetso by'ubwishyu (receipts) zombi. Tuzagenzura ikibazo cyanyu kandi tubafashe mu nzira yo gusaba gusubizwa amafaranga y'inyongera."
"ko ubushize nasabye icyemezo cy'uko ntafunzwe nkahita nkibona, ubu bwo kuki cyatinze? kimaze icyumweru kirenga.","Igihe gisabwa gishobora guhinduka bitewe n'umubare w'abasaba cyangwa igenzura rikenewe. Ushobora gukurikirana aho ubusabe bwawe bugeze kuri konti yawe ya Irembo cyangwa ukahamagara umurongo w'ubufasha wa Irembo kugira ngo ubaze."
"Twasabye ibyemezo by'uko tutafunzwe njye na madamu n'umuhungu wanjye ariko bo barabibonye njye sinzi impamvu byatinze","Hari igihe igenzura ku muntu umwe ritwara igihe kirenze icy'abandi bitewe n'amakuru agomba kubanza kugenzurwa. Ushobora gukurikirana ubusabe bwawe kuri konti yawe ya Irembo cyangwa ukahamagara umurongo w'ubufasha wa Irembo ngo umenye aho bigeze."
