"Question","Answer"
"Kubera iki mumaze igihe kinini mutaduha uburenganzira bwo gufungura Irembo ryacu? Ndashaka nanjye kujya mfasha abantu kubona serivisi z'Irembo","Irembo ntabwo yemeye gufungura Irembo kubera umutekano nimpamvu zikorwa. Ariko, urashobora gufasha abantu kubona serivise za Gateway mugutezimbere no gusangira amakuru kubyerekeye serivisi ziboneka binyuze mumiyoboro yemewe."
"Ese umuntu ashaka akazi mu Irembo yabavugisha gute?","Kubaza amahirwe yakazi muri Iregate, abantu barashobora gusura urubuga rwa Iregate cyangwa bakabaza ishami ryabo rishinzwe abakozi binyuze kuri imeri cyangwa terefone kugirango bagaragaze ko bashimishijwe kandi babaze imyanya ihari."
"Icyangombwa cyanjye cy'ubutaka narakibuze kandi ngejeje igihe cyo gutanga umusoro","Niba waratakaje ubutaka bwawe mu Rwanda, uzakenera gusaba titre ebyiri kubiro bishinzwe iyandikisha ry&#39;ubutaka. Umaze kugira titre duplicate, urashobora gukomeza kwishyura imisoro yubutaka nkuko leta ibisabwa."
"Ese ko mbona gusaba pasiporo bitari gukunda mwamfasha kuyinsabira","Nibyo, ndashobora kugufasha gusaba pasiporo binyuze muri serivisi za Irembo mu Rwanda. Nyamuneka mpa amakuru akenewe hamwe ninyandiko, kandi nzakuyobora muburyo bwo gusaba."
"Ese Irembo","Oya, Irembo ntabwo ari irembo. Irembo ni urubuga rwa interineti mu Rwanda rutanga serivisi za leta kubaturage nubucuruzi."
"Aka message mwampaye narakabuze kandi ejo mfite examen. nakabona gute?","Urashobora kubona ubutumwa winjiye muri konte yawe ya Irembo ukareba amateka yubutumwa bwawe. Niba udashoboye kuyimenya, urashobora kwegera abakiriya ba Irembo kugirango bagufashe mugutanga ubutumwa mbere yikizamini cyawe ejo."
"Icyumweru gishize niyandikishije ku kizami ariko sinibuka italiki y'ikizamini. Munyibutse italiki","Kugirango ugarure itariki yawe y&#39;ibizamini, urashobora kwinjira kuri konte yawe ya Irembo hanyuma ukareba gahunda uzaza cyangwa ukabaza akanama gashinzwe ibizamini kugirango ubafashe."
"Nijoro niyandikishije ariko ndi kwishyura bikanga. Kandi ndabishaka cyane mumfashe","Niba wiyandikishije mwijoro ryakeye kandi ukaba ugifite ibibazo byo kwishyura, nyamuneka wegera abakiriya ba Irembo kugirango bagufashe. Bazashobora kugufasha gukemura ibibazo byose bijyanye no kwishura no kwemeza inzira nziza kuri wewe."
"Nasabye icyemezo gisimbura indangamuntu ariko ntabwo nibuka numero yanjye ya dosiye. Mwanyibutsa?","Kubwamahirwe, nkumufasha, ntabwo nshobora kubona amakuru yihariye nka numero ya dosiye yawe. Ndasaba kuvugana ninzego zibishinzwe cyangwa itsinda rya serivisi ryabakiriya ba Irembo kugirango bagufashe kugarura numero yawe ya dosiye kugirango usabe indangamuntu."
"Ndikugerageza kudownloadinga icyemezo cyanjye cy'amavuko nk'ibisanzwe ariko ntibikunda sinzi ikibazo kirimo","Niba uhuye nibibazo byo gukuramo icyemezo cyamavuko kuri Irembo, nyamuneka urebe ko ufite umurongo wa interineti uhamye kandi ugerageze kuvugurura page cyangwa gukuraho cache ya mushakisha yawe. Niba ikibazo gikomeje, urashobora guhamagara abakiriya ba Irembo kugirango bagufashe."
"Maze kwiyandikisha ariko nsanze nashyizemo kuzakorera Rusizi kandi nashakaga Musanze. Munkuriremo iyo dosiye nongere niyandikishe","Kugira ngo ukosore amakosa mu kwiyandikisha kwawe, nyamuneka hamagara abakiriya ba Irembo kugirango bakureho dosiye itari yo. Iyo dosiye imaze gukurwaho, urashobora gukomeza kwiyandikisha hamwe nuburyo bukwiye bwa Musanze."
"Ese birashoboka ko mwampindurira uwo twari kuzashakana nkashyiraho undi. Nandikishije ishyingirwa ariko uwo twari kuzashakana yarabyanze nshaka undi","Ubukwe bumaze kwandikwa mu Rwanda, ntibishoboka guhindura umukunzi wawe ugashyiraho undi. Niba umukunzi wawe yanze kwandikisha abashakanye, ushobora gukenera kugisha inama amategeko muburyo bwo gukomeza."
"Ndashaka kwishyura imisoro hakiri kare bataramfungira.","Urashobora kuriha imisoro kumurongo ukoresheje urubuga rwu Rwanda Revenue Authority (RRA) ukoresheje urubuga rwa Irembo. Sura gusa urubuga rwa RRA, hitamo uburyo bwo kwishyura imisoro, hanyuma ukurikize amabwiriza yo kwishyura imisoro hakiri kare kandi wirinde ibihano byose."
"Nabonye ku mbuga zanyu mwatumenyesheje ko mushobora kudufasha gusimbuza amafoto yo ku ndangamuntu","Nibyo, Irembo itanga serivise ifasha abantu gusimbuza amafoto kurirangamuntu yabo mu Rwanda. Urashobora gukoresha urubuga rwa Irembo kugirango utangire inzira kandi ukurikize intambwe zikenewe zo kuvugurura ifoto yindangamuntu."
"Mu kwiyandikisha kuri permit","Mugihe wiyandikishije kugirango ubone uruhushya binyuze muri serivisi za Irembo mu Rwanda, urashobora gusaba byoroshye no gucunga ibyemezo bya leta bitandukanye kumurongo, bikagutwara igihe n&#39;imbaraga."
"Maze kwishyura Traffic fine ariko nsanga n'umushoferi wanjye nawe yishyuye","Niba wishyuye amande yimodoka ariko umushoferi wawe nawe yarayishyuye, ugomba guhamagara inzego zibishinzwe kugirango ubamenyeshe ubwishyu bubiri. Tanga icyemezo cyuko wishyuye kandi usabe gusubizwa ubwishyu bubiri bwakozwe numushoferi wawe."
