"Question","Answer"
"Kubera iki mumaze igihe kinini mutaduha uburenganzira bwo gufungura Irembo ryacu? Ndashaka nanjye kujya mfasha abantu kubona serivisi z'Irembo","Irembo irimo gukora ku buryo bwo gufungura uburyo bwo gufasha abandi kubona serivisi. Turakumenyesha igihe bizaba bishoboka."
"Ese umuntu ashaka akazi mu Irembo yabavugisha gute?","Ushobora kuvugana n'ishami ry'abakozi ba Irembo unyuze ku rubuga rwabo cyangwa ukabandikira kuri email yabo."
"Icyangombwa cyanjye cy'ubutaka narakibuze kandi ngejeje igihe cyo gutanga umusoro, ubwo nakibona gute ngo mbashe kwishyura imisoro","Ushobora gusaba icyemezo gishya cy'ubutaka unyuze kuri serivisi za Irembo cyangwa ukagana ibiro by'ubutaka by'akarere."
"Ese ko mbona gusaba pasiporo bitari gukunda mwamfasha kuyinsabira","Turashishikariza gukomeza kugerageza cyangwa ukagana ibiro by'abinjira n'abasohoka kugira ngo bagufashe."
"Ese Irembo, iyo umuntu amaze kwiyandikisha kuri permit ntabone code yiwe biba byagenze gute ubwo?","Ushobora kuvugana n'ubuyobozi bwa Irembo kugira ngo bagufashe kubona iyo code."
"Aka message mwampaye narakabuze kandi ejo mfite examen. nakabona gute?","Gerageza kongera kugerageza cyangwa uvugane n'abakozi ba Irembo kugira ngo bagufashe."
"Icyumweru gishize niyandikishije ku kizami ariko sinibuka italiki y'ikizamini. Munyibutse italiki","Ushobora kwinjira mu rubuga rwa Irembo ukareba italiki y'ikizamini cyawe cyangwa ukabaza abakozi ba Irembo."
"Nijoro niyandikishije ariko ndi kwishyura bikanga. Kandi ndabishaka cyane mumfashe","Gerageza kongera kugerageza cyangwa uvugane n'abakozi ba Irembo kugira ngo bagufashe."
"Nasabye icyemezo gisimbura indangamuntu ariko ntabwo nibuka numero yanjye ya dosiye. Mwanyibutsa?","Ushobora kuvugana n'ubuyobozi bwa Irembo kugira ngo bagufashe kubona iyo numero ya dosiye."
"Ndikugerageza kudownloadinga icyemezo cyanjye cy'amavuko nk'ibisanzwe ariko ntibikunda sinzi ikibazo kirimo","Gerageza kongera kugerageza cyangwa uvugane n'abakozi ba Irembo kugira ngo bagufashe."
"Maze kwiyandikisha ariko nsanze nashyizemo kuzakorera Rusizi kandi nashakaga Musanze. Munkuriremo iyo dosiye nongere niyandikishe","Ushobora gusaba guhindura aho uzakorera unyuze kuri serivisi za Irembo."
