"Question","Answer"
"Kubera iki mumaze igihe kinini mutaduha uburenganzira bwo gufungura Irembo ryacu? Ndashaka nanjye kujya mfasha abantu kubona serivisi z'Irembo","Turasaba imbabazi ku kuba byatinze kubera imbogamizi z’ikoreshwa; turakorana ibishoboka byose ngo dutange uburenganzira bwihuse."
"Ese umuntu ashaka akazi mu Irembo yabavugisha gute?","Wakwandikira serivisi z’itangazamakuru za Irembo cyangwa ugakoresha urubuga rwacu kugira ngo ubone amakuru y’akazi."
"Icyangombwa cyanjye cy'ubutaka narakibuze kandi ngejeje igihe cyo gutanga umusoro, ubwo nakibona gute ngo mbashe kwishyura imisoro","Nyamuneka saba icyemezo gishyashya cy’ubutaka mu biro byacu cyangwa ukoreshe serivisi zacu kuri Irembo zifasha kuvugurura inyandiko."
"Ese ko mbona gusaba pasiporo bitari gukunda mwamfasha kuyinsabira","Twandikire kuri serivisi za Irembo maze tukuyobore mu buryo bwo gusaba pasiporo."
"Ese Irembo, iyo umuntu amaze kwiyandikisha kuri permit ntabone code yiwe biba byagenze gute ubwo?","Icyo kibazo gikunze guterwa n’ikibazo mu kugenzura amakuru; nyamuneka vugana n’abashinzwe gufasha abakiriya kugira ngo bakurikirane ikibazo cyawe."
"Aka message mwampaye narakabuze kandi ejo mfite examen. nakabona gute?","Nyamuneka saba ubutumwa bwo kwibutsa mu buryo bwihuse hifashishijwe serivisi zacu za Irembo."
"Icyumweru gishize niyandikishije ku kizami ariko sinibuka italiki y'ikizamini. Munyibutse italiki","Kanda ku rubuga rwa Irembo cyangwa uhamagare serivisi zacu kugira ngo ubone amakuru y’itariki y’ikizamini."
"Nijoro niyandikishije ariko ndi kwishyura bikanga. Kandi ndabishaka cyane mumfashe","Tegereza gato cyangwa uhamagare serivisi zacu kugira ngo utange ikibazo cyawe ku bijyanye no kwishyura neza."
"Nasabye icyemezo gisimbura indangamuntu ariko ntabwo nibuka numero yanjye ya dosiye. Mwanyibutsa?","Nyamuneka reba mu nyandiko zawe cyangwa uhamagare serivisi z’abakiriya za Irembo kugira ngo ubone numero ya dosiye yawe."
"Ndikugerageza kudownloadinga icyemezo cyanjye cy'amavuko nk'ibisanzwe ariko ntibikunda sinzi ikibazo kirimo","Icyo kibazo gishobora guterwa n’imikorere ya sisitemu; vugana n’itsinda rishinzwe ikoranabuhanga kuri Irembo kugira ngo bagufashe."
"Maze kwiyandikisha ariko nsanze nashyizemo kuzakorera Rusizi kandi nashakaga Musanze. Munkuriremo iyo dosiye nongere niyandikishe","Twandikire hakiri kare maze tugufashe gukosora amakuru ya serivisi wahisemo, tukaguhindurira dosiye yawe."
"Ese birashoboka ko mwampindurira uwo twari kuzashakana nkashyiraho undi. Nandikishije ishyingirwa ariko uwo twari kuzashakana yarabyanze nshaka undi","Nyamuneka saba impinduka ku makuru yawe anyuze mu bigo bishinzwe imicungire y’amadosiye kuri Irembo, kandi bizakurikiranwa mu buryo bwemewe."
"Ndashaka kwishyura imisoro hakiri kare bataramfungira.","Hamagara serivisi z’inyungu z’ubutaka cyangwa ukoreshe urubuga rwa Irembo kugira ngo ushobore kwishyura imisoro hakiri kare."
"Nabonye ku mbuga zanyu mwatumenyesheje ko mushobora kudufasha gusimbuza amafoto yo ku ndangamuntu, ndasabwa iki?","Tegereza ibisabwa byuzuye by’amafoto, hanyuma usabe gusimbuza amafoto anyuze mu nzira yemewe kuri Irembo."
"Mu kwiyandikisha kuri permit, kuki buri gihe nsangamo imyanya yo muri Busanza gusa?","Icyo kibazo gishobora guterwa n’amakuru atuzuye; saba guhindura ibipimo byawe kuri Irembo binyuze mu murongo w’ubufasha."
"Maze kwishyura Traffic fine ariko nsanga n'umushoferi wanjye nawe yishyuye, ubwo ayo mafaranga turayasubizwa bigenze gute?","Hamagara serivisi zacu z’abakiriya kugira ngo hagaragazwe uburyo bwo gusubizwa amafaranga igihe byagaragaye ko habayeho kwishyura inshuro ebyiri."
"ko ubushize nasabye icyemezo cy'uko ntafunzwe nkahita nkibona, ubu bwo kuki cyatinze? kimaze icyumweru kirenga.","Turasaba imbabazi ku myandikire yabayeho; nyamuneka saba gukurikirana aho icyemezo kiri cyagaragaza impamvu cyatinze."
"Twasabye ibyemezo by'uko tutafunzwe njye na madamu n'umuhungu wanjye ariko bo barabibonye njye sinzi impamvu byatinze","Reba uburyo ubusabe bwanyu bwakiriwe cyangwa uzahamagare serivisi z'abakiriya za Irembo kugira ngo bagenzure impamvu byatinze."
"Nifuzaga kumenya aho icyangombwa cyanjye cy'ubutaka kigeze kuko twakoze mutation ukwezi gushize kandi sindabona icyangombwa cyanjye","Saba amakuru y'aho icyangombwa kiri anyuze mu murongo w'ubufasha kuri Irembo, maze usuzume uko byagenze mu buryo bw'umwuga."
"Mvuye mu kizamini ariko nahise nzimya machine ntabonye amanota yanjye, mwamfasha kuyamenya","Tegereza gato cyangwa uhamagare serivisi zacu kugira ngo ubone amakuru ajyanye n'amanota yawe byihuse."
"Kubera iki umuntu akenera icyemezo cy'uko ari ho kandi mumubona ko ari muzima?","Icyemezo cy'aho uba gitangwa kugira ngo cyemezwe ko amakuru yawe ari ukuri; nyamuneka saba gusobanukirwa neza iby'icyemezo mu buryo bw'akazi."
"Bitewe n'uko mbona serivisi z'Irembo ari ingenzi cyane kandi hano mu gace kacu nta bantu dufite badufasha kuzibona, ndashaka kuzajya mbikorera bagenzi. Ni gute nabona compte nanjye nkajya nsabira abantu serivisi.","Wakoresha uburyo bwo kwiyandikisha ugahabwa konti yihariye, kandi ushobora kugisha inama serivisi zacu z'ikoranabuhanga kuri Irembo."
