"Question","Answer"
"Kubera iki mumaze igihe kinini mutaduha uburenganzira bwo gufungura Irembo ryacu? Ndashaka nanjye kujya mfasha abantu kubona serivisi z'Irembo","Turacyakorera ku buryo bwo gutanga uburenganzira bwo gufasha abandi kubona serivisi z'Irembo. Turabimenyesha vuba uko bizagenda."
"Ese umuntu ashaka akazi mu Irembo yabavugisha gute?","Umuntu ashaka akazi mu Irembo ashobora kohereza CV ye kuri email yacu careers@irembo.rw cyangwa akajya ku rubuga rwacu agakurikiza amabwiriza yo gusaba akazi."
"Icyangombwa cyanjye cy'ubutaka narakibuze kandi ngejeje igihe cyo gutanga umusoro, ubwo nakibona gute ngo mbashe kwishyura imisoro","Ushobora gusaba kopi y'icyangombwa cy'ubutaka mu biro by'ubutaka byo mu karere kawe. Uzakenera kwerekana indangamuntu yawe n'inyemezabwishyu y'amafaranga asabwa."
"Ese ko mbona gusaba pasiporo bitari gukunda mwamfasha kuyinsabira","Ntibishoboka ko tukwiyandikishiriza pasiporo. Ariko ushobora gusaba ubufasha bwo kuzuza neza inyandiko za ngombwa. Nyamuneka, gerageza kongera cyangwa utugane ku biro byacu."
"Ese Irembo, iyo umuntu amaze kwiyandikisha kuri permit ntabone code yiwe biba byagenze gute ubwo?","Iyo utaboye code nyuma yo kwiyandikisha, ushobora guhamagara umurongo wacu w'ubufasha kuri 9099 cyangwa ukandika ubutumwa kuri support@irembo.rw tukagufasha kubona code yawe."
"Aka message mwampaye narakabuze kandi ejo mfite examen. nakabona gute?","Ushobora kongera kwinjira ku konti yawe ya Irembo ukareba ubutumwa bwose, cyangwa ukaduhamagara kuri 9099 tukagufasha kubona ubutumwa bwabuze."
"Icyumweru gishize niyandikishije ku kizami ariko sinibuka italiki y'ikizamini. Munyibutse italiki","Ushobora kwinjira ku konti yawe ya Irembo ukareba amakuru y'ikizamini cyawe. Niba ukomeza kugira ibibazo, duhamagare kuri 9099 tukagufasha."
"Nijoro niyandikishije ariko ndi kwishyura bikanga. Kandi ndabishaka cyane mumfashe","Ushobora kugerageza ubundi buryo bwo kwishyura nk'ikofi, MTN Mobile Money cyangwa ukoresha banki. Niba ikibazo gikomeje, duhamagare kuri 9099 tukagufasha."
"Nasabye icyemezo gisimbura indangamuntu ariko ntabwo nibuka numero yanjye ya dosiye. Mwanyibutsa?","Ushobora kwinjira ku konti yawe ya Irembo ukareba amakuru y'ubusabe bwawe. Cyangwa udutumire kuri 9099 tukagufasha kubona numero ya dosiye yawe."
"Ndikugerageza kudownloadinga icyemezo cyanjye cy'amavuko nk'ibisanzwe ariko ntibikunda sinzi ikibazo kirimo","Gerageza gusiba cache y'urubuga cyangwa ukoresha browser itandukanye. Niba ikibazo gikomeje, duhamagare kuri 9099 tukagufasha."
"Maze kwiyandikisha ariko nsanze nashyizemo kuzakorera Rusizi kandi nashakaga Musanze. Munkuriremo iyo dosiye nongere niyandikishe","Ntibishoboka gusiba dosiye imaze kwandikwa. Ariko ushobora gusaba kuyihindura. Duhamagare kuri 9099 cyangwa wandike kuri support@irembo.rw tukakuyobora."
"Ese birashoboka ko mwampindurira uwo twari kuzashakana nkashyiraho undi. Nandikishije ishyingirwa ariko uwo twari kuzashakana yarabyanze nshaka undi","Ushobora gusaba guhindura amakuru y'ubukwe bwawe. Nyamuneka, duhamagare kuri 9099 cyangwa wandike kuri support@irembo.rw tukakuyobora mu nzira zo gukora izo mpinduka."
"Ndashaka kwishyura imisoro hakiri kare bataramfungira.","Ushobora kwishyura imisoro yawe ukoresheje Irembo. Injira ku rubuga rwacu, ukore konti, uhitemo serivisi yo kwishyura imisoro, ukurikize amabwiriza."
"Nabonye ku mbuga zanyu mwatumenyesheje ko mushobora kudufasha gusimbuza amafoto yo ku ndangamuntu, ndasabwa iki?","Kugira ngo usimbuze ifoto y'indangamuntu, uzakenera kuzana ifoto nshya, indangamuntu yawe y'ubu, no kwishyura amafaranga asabwa. Ushobora gusaba iyi serivisi ku rubuga rwacu."
"Mu kwiyandikisha kuri permit, kuki buri gihe nsangamo imyanya yo muri Busanza gusa?","Imyanya igaragara biterwa n'aho amasaha ari menshi. Ushobora gukomeza kugenzura buri gihe kuko imyanya mishya yongerwa buri munsi. Cyangwa udutumire tukagufasha kubona ikindi gihe."
